track type=wiggle_0 name="Cons 30 Mammals" description="30 mammals Basewise Conservation by PhyloP (27 primates)"
#	output date: 2024-12-19 23:47:02 UTC
#	chrom specified: chrX
#	position specified: 71118597-71118853
#	This data has been compressed with a minor loss in resolution.
#	(Worst case: 0.0340625)  The original source data
#	(before querying and compression) is available at 
#		http://hgdownload.soe.ucsc.edu/downloads.html
variableStep chrom=chrX span=1
71118597	1.17468
71118598	1.10602
71118599	1.10602
71118600	1.10602
71118601	1.00302
71118602	1.00302
71118603	1.17468
71118604	1.17468
71118605	1.00302
71118606	1.312
71118607	0.316409
71118608	0.179087
71118609	0.213417
71118610	0.282079
71118611	1.10602
71118612	1.00302
71118613	1.17468
71118614	1.312
71118615	1.17468
71118616	1.312
71118617	1.17468
71118618	1.10602
71118619	1.10602
71118620	0.179087
71118621	1.00302
71118622	1.10602
71118623	1.312
71118624	1.312
71118625	1.00302
71118626	1.17468
71118627	1.10602
71118628	0.179087
71118629	1.00302
71118630	1.00302
71118631	0.110425
71118632	1.00302
71118633	1.00302
71118634	0.00743307
71118635	0.110425
71118636	0.0760945
71118637	0.179087
71118638	0.179087
71118639	0.144756
71118640	1.10602
71118641	1.00302
71118642	1.10602
71118643	1.00302
71118644	1.10602
71118645	1.00302
71118646	1.17468
71118647	1.17468
71118648	1.00302
71118649	-0.747842
71118650	0.144756
71118651	1.00302
71118652	-0.747842
71118653	1.17468
71118654	1.10602
71118655	1.00302
71118656	1.00302
71118657	1.10602
71118658	1.00302
71118659	-0.782173
71118660	1.00302
71118661	-0.16422
71118662	0.316409
71118663	1.00302
71118664	0.110425
71118665	-0.12989
71118666	1.00302
71118667	0.934362
71118668	0.110425
71118669	1.00302
71118670	1.00302
71118671	1.00302
71118672	-0.301543
71118673	-0.301543
71118674	1.00302
71118675	1.10602
71118676	0.179087
71118677	-0.232882
71118678	-0.198551
71118679	0.110425
71118680	0.213417
71118681	-0.198551
71118682	0.110425
71118683	0.179087
71118684	0.968693
71118685	0.110425
71118686	0.0760945
71118687	0.179087
71118688	1.00302
71118689	1.10602
71118690	0.110425
71118691	1.00302
71118692	0.110425
71118693	-0.885165
71118694	-0.370205
71118695	0.144756
71118696	0.144756
71118697	0.00743307
71118698	0.934362
71118699	0.110425
71118700	-1.57178
71118701	-0.885165
71118702	-0.404535
